CP;lat/ln;Distance (meters);Zona;Tarifa
53640;19.45550722, -99.25588242;11.68479719;Norte1;140
53788;19.45022935, -99.2580875;11.44089832;Norte1;140
53490;19.46216717, -99.25456727;12.13397542;Norte1;140
53426;19.4588115, -99.26843943;12.88570002;Norte1;140
53690;19.44673034, -99.27654565;12.69790869;Norte1;140
53695;19.43803088, -99.29391301;13.74162151;Poniente;140
53713;19.43255439, -99.27304121;11.53202241;Poniente;140
53717;19.43183822, -99.26969542;11.18933105;Poniente;140
53798;19.43437402, -99.26267198;10.71891388;Poniente;140
53719;19.4353808, -99.27333172;11.71940535;Poniente;140
53710;19.43760219, -99.26754148;11.34297819;Poniente;140
53716;19.44198378, -99.2701171;11.84268498;Norte1;140
53714;19.43867511, -99.2757343;12.12691879;Poniente;140
53680;19.44551933, -99.27474524;12.4660269;Norte1;140
53760;19.44517516, -99.26747502;11.83078767;Norte1;140
53530;19.45780809, -99.23719324;10.61734986;Norte1;140
53519;19.46555357, -99.22939313;10.90123693;Norte1;140
53370;19.46968359, -99.2217355;10.94316348;Norte1;140
53348;19.47969342, -99.22207398;11.97667779;Norte1;140
53340;19.48483531, -99.22170016;12.49176761;Norte1;140
53300;19.49353288, -99.22804628;13.63796199;Norte1;140
53309;19.49210558, -99.22151467;13.24055218;Norte1;140
53310;19.48830009, -99.23075792;13.21905383;Norte1;140
53330;19.48449391, -99.22725369;12.68196863;Norte1;140
53278;19.47838395, -99.25436097;13.52628877;Norte1;140
53040;19.47825198, -99.23914427;12.63535576;Norte1;140
53060;19.47731699, -99.23502897;12.33110919;Norte1;140
53410;19.47164663, -99.24830747;12.54704047;Norte1;140
53460;19.46764308, -99.2512245;12.37679747;Norte1;140
53696;19.43988653, -99.28626523;13.14058121;Poniente;140
53694;19.43636998, -99.29001127;13.29362449;Poniente;140
53689;19.44149916, -99.28095752;12.75766245;Norte1;140
53425;19.46103488, -99.27218959;13.34268194;Norte1;140
53420;19.46499485, -99.26784196;13.3165706;Norte1;140
53670;19.45061029, -99.28210029;13.4226034;Norte1;140
53809;19.43918953, -99.25184377;10.13673338;Poniente;140
53780;19.44424516, -99.25342037;10.63087673;Norte1;140
53790;19.44001069, -99.25581885;10.51583719;Poniente;140
53799;19.44080062, -99.25924487;10.85107842;Poniente;140
53787;19.44305406, -99.26021117;11.08669318;Norte1;140
53730;19.44750517, -99.25699723;11.15214678;Norte1;140
53688;19.45223757, -99.25995915;11.73664628;Norte1;140
53296;19.47367407, -99.26708662;13.96242235;Norte1;140
53270;19.4767464, -99.25890762;13.67039023;Norte1;140
53458;19.47510949, -99.24434514;12.62727747;Norte1;140
53459;19.46862213, -99.24753516;12.22800061;Norte1;140
53450;19.46956465, -99.2463955;12.24197568;Norte1;140
53030;19.4710867, -99.24617557;12.36623317;Norte1;140
53440;19.46841588, -99.25365398;12.60300273;Norte1;140
53430;19.46611495, -99.25347656;12.39330201;Norte1;140
53400;19.46988692, -99.25699211;12.95143254;Norte1;140
53529;19.465937, -99.23594707;11.29243606;Norte1;140
53470;19.46936112, -99.24324454;12.03290019;Norte1;140
53489;19.46721866, -99.24369251;11.86483319;Norte1;140
53010;19.48364665, -99.23671119;13.03356285;Norte1;140
53050;19.48036298, -99.23510366;12.63215147;Norte1;140
53150;19.48745825, -99.24207626;13.67587819;Norte1;140
53338;19.48269469, -99.23210135;12.71770478;Norte1;140
53840;19.42993782, -99.24396598;8.845260807;Poniente;90
53820;19.43462812, -99.24737356;9.451676531;Poniente;140
53960;19.42895353, -99.22545347;7.346516356;Poniente;90
53910;19.43450783, -99.22965649;8.100018008;Poniente;90
53000;19.47303903, -99.23415031;11.87132038;Norte1;140
53339;19.48519643, -99.23128274;12.93003186;Norte1;140
53950;19.42253594, -99.2353348;7.624829398;Poniente;90
53533;19.4458477, -99.23266117;9.268631798;Norte1;140
